AAA278I18.genome.CDS.1878,group01675
AAA278I18.genome.CDS.1086,group00297
AAA278I18.genome.CDS.1235,group02026
AAA278I18.genome.CDS.1520,group00224
AAA278I18.genome.CDS.1088,group00296
AAA278I18.genome.CDS.1918,group01497
AAA278I18.genome.CDS.1424,group01558
AAA278I18.genome.CDS.1368,group00622
AAA278I18.genome.CDS.880,group04694
AAA278I18.genome.CDS.883,group02640
AAA278I18.genome.CDS.889,group01661
AAA278I18.genome.CDS.1441,group00859
AAA278I18.genome.CDS.1440,group01485
AAA278I18.genome.CDS.1443,group00352
AAA278I18.genome.CDS.1442,group00479
AAA278I18.genome.CDS.1445,group00102
AAA278I18.genome.CDS.1444,group00073
AAA278I18.genome.CDS.1447,group00629
AAA278I18.genome.CDS.1446,group00096
AAA278I18.genome.CDS.1449,group00973
AAA278I18.genome.CDS.1922,group00088
AAA278I18.genome.CDS.1435,group01074
AAA278I18.genome.CDS.1436,group01770
AAA278I18.genome.CDS.1437,group01047
AAA278I18.genome.CDS.1430,group00658
AAA278I18.genome.CDS.1927,group00595
AAA278I18.genome.CDS.1432,group00346
AAA278I18.genome.CDS.1925,group00328
AAA278I18.genome.CDS.1535,group00705
AAA278I18.genome.CDS.1534,group04723
AAA278I18.genome.CDS.1928,group00594
AAA278I18.genome.CDS.1536,group01141
AAA278I18.genome.CDS.1531,group00231
AAA278I18.genome.CDS.1439,group01303
AAA278I18.genome.CDS.1533,group00570
AAA278I18.genome.CDS.1532,group00509
AAA278I18.genome.CDS.1849,group00094
AAA278I18.genome.CDS.1848,group00254
AAA278I18.genome.CDS.1845,group00191
AAA278I18.genome.CDS.1844,group04696
AAA278I18.genome.CDS.1847,group04695
AAA278I18.genome.CDS.1846,group00081
AAA278I18.genome.CDS.1841,group00666
AAA278I18.genome.CDS.1840,group00800
AAA278I18.genome.CDS.1843,group00557
AAA278I18.genome.CDS.1842,group00771
AAA278I18.genome.CDS.1197,group04710
AAA278I18.genome.CDS.1664,group00725
AAA278I18.genome.CDS.1748,group00312
AAA278I18.genome.CDS.1666,group00862
AAA278I18.genome.CDS.1218,group01238
AAA278I18.genome.CDS.1192,group00617
AAA278I18.genome.CDS.1663,group00512
AAA278I18.genome.CDS.1190,group00393
AAA278I18.genome.CDS.1742,group00115
AAA278I18.genome.CDS.1215,group00645
AAA278I18.genome.CDS.1216,group00401
AAA278I18.genome.CDS.1217,group00368
AAA278I18.genome.CDS.1210,group04718
AAA278I18.genome.CDS.1668,group02217
AAA278I18.genome.CDS.1744,group00145
AAA278I18.genome.CDS.1198,group01969
AAA278I18.genome.CDS.1328,group00025
AAA278I18.genome.CDS.1329,group00888
AAA278I18.genome.CDS.1281,group02740
AAA278I18.genome.CDS.1280,group00241
AAA278I18.genome.CDS.1287,group01072
AAA278I18.genome.CDS.1286,group02057
AAA278I18.genome.CDS.1285,group01013
AAA278I18.genome.CDS.1284,group00472
AAA278I18.genome.CDS.1320,group00677
AAA278I18.genome.CDS.1321,group00703
AAA278I18.genome.CDS.1289,group00633
AAA278I18.genome.CDS.1323,group00864
AAA278I18.genome.CDS.1324,group00355
AAA278I18.genome.CDS.1326,group00370
AAA278I18.genome.CDS.1327,group01029
AAA278I18.genome.CDS.1698,group00889
AAA278I18.genome.CDS.1699,group00736
AAA278I18.genome.CDS.1690,group00058
AAA278I18.genome.CDS.1691,group00194
AAA278I18.genome.CDS.1692,group00300
AAA278I18.genome.CDS.1693,group00378
AAA278I18.genome.CDS.1694,group00349
AAA278I18.genome.CDS.1695,group00053
AAA278I18.genome.CDS.1696,group00083
AAA278I18.genome.CDS.1697,group00385
AAA278I18.genome.CDS.1100,group00769
AAA278I18.genome.CDS.1268,group01119
AAA278I18.genome.CDS.1102,group00722
AAA278I18.genome.CDS.1103,group00831
AAA278I18.genome.CDS.1104,group02514
AAA278I18.genome.CDS.1105,group00811
AAA278I18.genome.CDS.1106,group00880
AAA278I18.genome.CDS.1107,group00441
AAA278I18.genome.CDS.1108,group00331
AAA278I18.genome.CDS.1260,group01806
AAA278I18.genome.CDS.1263,group02016
AAA278I18.genome.CDS.1262,group01870
AAA278I18.genome.CDS.1265,group01681
AAA278I18.genome.CDS.1264,group00716
AAA278I18.genome.CDS.1267,group01326
AAA278I18.genome.CDS.1266,group01554
AAA278I18.genome.CDS.1069,group01670
AAA278I18.genome.CDS.1068,group00121
AAA278I18.genome.CDS.1063,group00104
AAA278I18.genome.CDS.1062,group00106
AAA278I18.genome.CDS.1061,group00299
AAA278I18.genome.CDS.1060,group00657
AAA278I18.genome.CDS.1067,group00157
AAA278I18.genome.CDS.1066,group00158
AAA278I18.genome.CDS.1065,group00059
AAA278I18.genome.CDS.1064,group00852
AAA278I18.genome.CDS.994,group00219
AAA278I18.genome.CDS.1539,group00982
AAA278I18.genome.CDS.1670,group00500
AAA278I18.genome.CDS.1778,group00719
AAA278I18.genome.CDS.1159,group00380
AAA278I18.genome.CDS.1493,group01037
AAA278I18.genome.CDS.1833,group01030
AAA278I18.genome.CDS.1618,group01028
AAA278I18.genome.CDS.1771,group00364
AAA278I18.genome.CDS.1679,group00420
AAA278I18.genome.CDS.1212,group00116
AAA278I18.genome.CDS.1562,group00101
AAA278I18.genome.CDS.1563,group00077
AAA278I18.genome.CDS.1560,group00213
AAA278I18.genome.CDS.1561,group00196
AAA278I18.genome.CDS.1566,group00041
AAA278I18.genome.CDS.1567,group00294
AAA278I18.genome.CDS.1564,group00019
AAA278I18.genome.CDS.1565,group00085
AAA278I18.genome.CDS.516,group00702
AAA278I18.genome.CDS.1568,group00166
AAA278I18.genome.CDS.1569,group00757
AAA278I18.genome.CDS.1291,group00546
AAA278I18.genome.CDS.1706,group00810
AAA278I18.genome.CDS.1707,group04691
AAA278I18.genome.CDS.1213,group01348
AAA278I18.genome.CDS.1704,group00475
AAA278I18.genome.CDS.1119,group00858
AAA278I18.genome.CDS.1438,group01411
AAA278I18.genome.CDS.1312,group00476
AAA278I18.genome.CDS.1969,group00139
AAA278I18.genome.CDS.1966,group00701
AAA278I18.genome.CDS.1967,group00324
AAA278I18.genome.CDS.68,group00127
AAA278I18.genome.CDS.1965,group01663
AAA278I18.genome.CDS.1962,group00853
AAA278I18.genome.CDS.1963,group00873
AAA278I18.genome.CDS.1960,group00597
AAA278I18.genome.CDS.1961,group00072
AAA278I18.genome.CDS.1496,group04725
AAA278I18.genome.CDS.1497,group02211
AAA278I18.genome.CDS.1494,group01340
AAA278I18.genome.CDS.1495,group01652
AAA278I18.genome.CDS.1492,group00686
AAA278I18.genome.CDS.1700,group00798
AAA278I18.genome.CDS.1490,group00528
AAA278I18.genome.CDS.1491,group00418
AAA278I18.genome.CDS.1351,group00490
AAA278I18.genome.CDS.1128,group04713
AAA278I18.genome.CDS.1499,group04724
AAA278I18.genome.CDS.1311,group00456
AAA278I18.genome.CDS.1310,group00571
AAA278I18.genome.CDS.1313,group00189
AAA278I18.genome.CDS.1705,group00704
AAA278I18.genome.CDS.1315,group00068
AAA278I18.genome.CDS.1314,group00047
AAA278I18.genome.CDS.1317,group00064
AAA278I18.genome.CDS.1701,group00620
AAA278I18.genome.CDS.1319,group00276
AAA278I18.genome.CDS.1318,group00962
AAA278I18.genome.CDS.1708,group00264
AAA278I18.genome.CDS.1709,group01053
AAA278I18.genome.CDS.1812,group00615
AAA278I18.genome.CDS.1813,group00822
AAA278I18.genome.CDS.1366,group00463
AAA278I18.genome.CDS.1811,group00763
AAA278I18.genome.CDS.1360,group00635
AAA278I18.genome.CDS.1817,group00698
AAA278I18.genome.CDS.1362,group00001
AAA278I18.genome.CDS.1363,group00003
AAA278I18.genome.CDS.1405,group00153
AAA278I18.genome.CDS.1404,group00221
AAA278I18.genome.CDS.1407,group00661
AAA278I18.genome.CDS.1042,group00193
AAA278I18.genome.CDS.1401,group00026
AAA278I18.genome.CDS.1400,group00203
AAA278I18.genome.CDS.1403,group00228
AAA278I18.genome.CDS.1402,group00140
AAA278I18.genome.CDS.1799,group00253
AAA278I18.genome.CDS.1798,group00832
AAA278I18.genome.CDS.1795,group00108
AAA278I18.genome.CDS.1794,group00937
AAA278I18.genome.CDS.1797,group00149
AAA278I18.genome.CDS.1796,group00898
AAA278I18.genome.CDS.1791,group01184
AAA278I18.genome.CDS.1790,group00399
AAA278I18.genome.CDS.1793,group00167
AAA278I18.genome.CDS.1792,group01230
AAA278I18.genome.CDS.1225,group01324
AAA278I18.genome.CDS.1224,group01143
AAA278I18.genome.CDS.1227,group01263
AAA278I18.genome.CDS.1226,group01353
AAA278I18.genome.CDS.1221,group00105
AAA278I18.genome.CDS.1220,group00365
AAA278I18.genome.CDS.1223,group00663
AAA278I18.genome.CDS.1222,group00682
AAA278I18.genome.CDS.1382,group00074
AAA278I18.genome.CDS.1383,group00893
AAA278I18.genome.CDS.1380,group00946
AAA278I18.genome.CDS.1381,group00801
AAA278I18.genome.CDS.1229,group00559
AAA278I18.genome.CDS.1810,group00662
AAA278I18.genome.CDS.1384,group00285
AAA278I18.genome.CDS.1127,group00415
AAA278I18.genome.CDS.1638,group00504
AAA278I18.genome.CDS.1639,group00043
AAA278I18.genome.CDS.1148,group01336
AAA278I18.genome.CDS.1149,group00694
AAA278I18.genome.CDS.1632,group00691
AAA278I18.genome.CDS.1145,group00044
AAA278I18.genome.CDS.1630,group01838
AAA278I18.genome.CDS.1631,group00311
AAA278I18.genome.CDS.1140,group01805
AAA278I18.genome.CDS.1141,group01285
AAA278I18.genome.CDS.1142,group01460
AAA278I18.genome.CDS.1361,group00002
AAA278I18.genome.CDS.1814,group00005
AAA278I18.genome.CDS.1162,group00507
AAA278I18.genome.CDS.1815,group00644
AAA278I18.genome.CDS.1818,group00525
AAA278I18.genome.CDS.1030,group00781
AAA278I18.genome.CDS.1138,group00648
AAA278I18.genome.CDS.1032,group00155
AAA278I18.genome.CDS.1819,group00581
AAA278I18.genome.CDS.1035,group00878
AAA278I18.genome.CDS.1036,group00642
AAA278I18.genome.CDS.1037,group00205
AAA278I18.genome.CDS.1131,group00516
AAA278I18.genome.CDS.1130,group00004
AAA278I18.genome.CDS.1133,group02003
AAA278I18.genome.CDS.1132,group00634
AAA278I18.genome.CDS.1135,group00803
AAA278I18.genome.CDS.1177,group00091
AAA278I18.genome.CDS.1137,group00473
AAA278I18.genome.CDS.1369,group00667
AAA278I18.genome.CDS.1176,group00198
AAA278I18.genome.CDS.1599,group02514
AAA278I18.genome.CDS.1150,group00604
AAA278I18.genome.CDS.1957,group00363
AAA278I18.genome.CDS.1434,group01373
AAA278I18.genome.CDS.1923,group00432
AAA278I18.genome.CDS.1276,group00583
AAA278I18.genome.CDS.1920,group02059
AAA278I18.genome.CDS.1178,group00175
AAA278I18.genome.CDS.1921,group00557
AAA278I18.genome.CDS.1209,group00939
AAA278I18.genome.CDS.1926,group00616
AAA278I18.genome.CDS.1275,group00684
AAA278I18.genome.CDS.1413,group01312
AAA278I18.genome.CDS.1111,group00079
AAA278I18.genome.CDS.1538,group01455
AAA278I18.genome.CDS.1924,group00283
AAA278I18.genome.CDS.1214,group01424
AAA278I18.genome.CDS.1702,group00343
AAA278I18.genome.CDS.1433,group00345
AAA278I18.genome.CDS.1208,group00922
AAA278I18.genome.CDS.1110,group00360
AAA278I18.genome.CDS.1537,group00977
AAA278I18.genome.CDS.1929,group00764
AAA278I18.genome.CDS.1703,group00735
AAA278I18.genome.CDS.22,group04684
AAA278I18.genome.CDS.1388,group00214
AAA278I18.genome.CDS.1530,group00624
AAA278I18.genome.CDS.1452,group00815
AAA278I18.genome.CDS.1453,group00628
AAA278I18.genome.CDS.1450,group01302
AAA278I18.genome.CDS.1451,group01000
AAA278I18.genome.CDS.1456,group00478
AAA278I18.genome.CDS.1457,group01148
AAA278I18.genome.CDS.1454,group00201
AAA278I18.genome.CDS.1455,group00572
AAA278I18.genome.CDS.1593,group00147
AAA278I18.genome.CDS.1592,group00066
AAA278I18.genome.CDS.1458,group01042
AAA278I18.genome.CDS.1590,group00338
AAA278I18.genome.CDS.1597,group00163
AAA278I18.genome.CDS.1596,group00190
AAA278I18.genome.CDS.1595,group00067
AAA278I18.genome.CDS.1594,group00111
AAA278I18.genome.CDS.1917,group04714
AAA278I18.genome.CDS.1916,group00405
AAA278I18.genome.CDS.1915,group00031
AAA278I18.genome.CDS.1914,group00558
AAA278I18.genome.CDS.1249,group02094
AAA278I18.genome.CDS.1912,group00821
AAA278I18.genome.CDS.1911,group04705
AAA278I18.genome.CDS.1910,group00597
AAA278I18.genome.CDS.1526,group00161
AAA278I18.genome.CDS.1527,group00561
AAA278I18.genome.CDS.1524,group00232
AAA278I18.genome.CDS.1525,group00562
AAA278I18.genome.CDS.1522,group00966
AAA278I18.genome.CDS.1523,group00814
AAA278I18.genome.CDS.1919,group02253
AAA278I18.genome.CDS.1071,group00309
AAA278I18.genome.CDS.1858,group00536
AAA278I18.genome.CDS.1859,group00598
AAA278I18.genome.CDS.1856,group00211
AAA278I18.genome.CDS.1857,group00653
AAA278I18.genome.CDS.1855,group00915
AAA278I18.genome.CDS.1852,group04693
AAA278I18.genome.CDS.1853,group02045
AAA278I18.genome.CDS.1850,group00503
AAA278I18.genome.CDS.1783,group00851
AAA278I18.genome.CDS.988,group00225
AAA278I18.genome.CDS.989,group00437
AAA278I18.genome.CDS.1044,group01375
AAA278I18.genome.CDS.980,group00124
AAA278I18.genome.CDS.981,group00156
AAA278I18.genome.CDS.982,group00373
AAA278I18.genome.CDS.983,group00204
AAA278I18.genome.CDS.984,group00450
AAA278I18.genome.CDS.985,group00329
AAA278I18.genome.CDS.986,group00027
AAA278I18.genome.CDS.987,group00240
AAA278I18.genome.CDS.1676,group01138
AAA278I18.genome.CDS.1677,group01056
AAA278I18.genome.CDS.1674,group00743
AAA278I18.genome.CDS.1675,group01005
AAA278I18.genome.CDS.1672,group02440
AAA278I18.genome.CDS.1673,group00833
AAA278I18.genome.CDS.1779,group00599
AAA278I18.genome.CDS.1671,group04686
AAA278I18.genome.CDS.1777,group00200
AAA278I18.genome.CDS.1776,group00235
AAA278I18.genome.CDS.1775,group00414
AAA278I18.genome.CDS.1774,group00413
AAA278I18.genome.CDS.1773,group00823
AAA278I18.genome.CDS.1772,group00856
AAA278I18.genome.CDS.1678,group00233
AAA278I18.genome.CDS.1770,group00080
AAA278I18.genome.CDS.1294,group00827
AAA278I18.genome.CDS.1295,group00003
AAA278I18.genome.CDS.1296,group00568
AAA278I18.genome.CDS.1297,group00001
AAA278I18.genome.CDS.1359,group00427
AAA278I18.genome.CDS.1358,group00469
AAA278I18.genome.CDS.1292,group00022
AAA278I18.genome.CDS.1293,group01018
AAA278I18.genome.CDS.1354,group00739
AAA278I18.genome.CDS.1357,group00733
AAA278I18.genome.CDS.1356,group00489
AAA278I18.genome.CDS.1298,group01725
AAA278I18.genome.CDS.1299,group00496
AAA278I18.genome.CDS.1353,group01084
AAA278I18.genome.CDS.1352,group01204
AAA278I18.genome.CDS.1548,group00391
AAA278I18.genome.CDS.1422,group01930
